,Televisor_analogico,Televisor_con_decodificador,Televisor_digital,Telefono_celular,Computadora_escritorio,Laptop,Internet,Estrato_socioeconomico,Tipo_de_entorno
384,No,No,Si,Si,No,No,No,Bajo,Urbano
385,No,No,Si,Si,No,No,Si,Alto,Urbano
386,No,Si,Si,Si,Si,Si,Si,Alto,Urbano
387,No,No,Si,Si,No,No,No,Alto,Urbano
388,No,No,Si,Si,No,Si,Si,Alto,Urbano
389,No,No,No,Si,Si,Si,Si,Medio alto,Urbano
390,No,No,Si,Si,No,No,Si,Medio alto,Urbano
391,No,Si,Si,Si,Si,No,Si,Medio alto,Urbano
392,Si,No,Si,Si,No,No,Si,Medio alto,Urbano
393,Si,No,Si,Si,No,No,Si,Medio alto,Urbano
394,No,No,Si,Si,Si,Si,Si,Alto,Urbano
395,No,No,Si,Si,Si,Si,Si,Alto,Urbano
396,No,No,Si,Si,No,No,Si,Medio alto,Urbano
397,No,No,Si,Si,No,No,Si,Medio alto,Urbano
398,Si,Si,No,Si,No,Si,Si,Medio alto,Urbano
399,No,No,Si,Si,Si,Si,Si,Alto,Urbano
400,No,No,Si,Si,Si,No,Si,Alto,Urbano
401,No,No,Si,Si,No,Si,Si,Alto,Urbano
402,No,No,Si,Si,Si,Si,Si,Alto,Urbano
403,Si,No,No,No,No,No,No,Medio bajo,Rural
404,No,No,Si,Si,No,No,No,Medio bajo,Rural
405,Si,Si,No,Si,No,No,Si,Medio bajo,Rural
406,Si,Si,Si,Si,No,No,No,Medio bajo,Rural
407,No,No,Si,Si,Si,Si,Si,Alto,Urbano
408,No,No,Si,Si,Si,Si,Si,Alto,Urbano
409,No,No,Si,Si,No,Si,No,Alto,Urbano
410,No,No,Si,Si,No,Si,Si,Alto,Urbano
411,No,No,Si,Si,No,No,No,Alto,Urbano
412,Si,No,Si,Si,No,Si,Si,Alto,Urbano
413,Si,Si,No,Si,No,No,No,Medio bajo,Rural
414,No,No,Si,Si,No,No,Si,Medio bajo,Rural
415,Si,Si,No,No,No,No,No,Medio bajo,Rural
416,Si,Si,Si,Si,No,No,No,Medio bajo,Rural
417,No,No,Si,Si,No,Si,Si,Medio bajo,Rural
418,Si,Si,No,Si,No,No,Si,Medio bajo,Rural
419,Si,Si,No,No,No,Si,No,Medio bajo,Rural
420,Si,No,Si,Si,No,No,Si,Medio bajo,Rural
421,Si,Si,Si,Si,No,No,No,Medio bajo,Rural
422,No,No,Si,Si,No,Si,No,Medio bajo,Rural
423,No,No,Si,Si,No,No,Si,Medio alto,Urbano
424,No,No,Si,Si,Si,Si,Si,Medio alto,Urbano
425,No,No,Si,Si,No,No,No,Medio alto,Urbano
426,Si,No,Si,Si,No,No,Si,Medio alto,Urbano
427,No,No,Si,Si,No,Si,Si,Alto,Urbano
428,No,No,Si,Si,Si,No,Si,Alto,Urbano
429,No,No,Si,Si,Si,No,Si,Alto,Urbano
430,No,No,Si,Si,No,No,No,Alto,Urbano
431,No,No,Si,Si,No,Si,Si,Alto,Urbano
432,No,No,Si,Si,Si,Si,Si,Alto,Urbano
433,No,No,Si,Si,Si,Si,Si,Alto,Urbano
434,No,No,Si,Si,No,Si,Si,Alto,Urbano
435,No,No,Si,Si,No,Si,Si,Alto,Urbano
436,Si,Si,Si,Si,No,No,Si,Medio alto,Urbano
437,No,No,Si,Si,Si,Si,Si,Medio alto,Urbano
438,No,No,Si,Si,Si,No,Si,Medio alto,Urbano
439,No,No,Si,Si,No,No,No,Medio alto,Urbano
440,Si,No,Si,Si,No,No,No,Medio alto,Urbano
